# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Nov  3 17:07:58 2022
#
# User preference: *
#
# CONSTRAINT:  where (sy_snum not null
# CONSTRAINT:  and sy_pnum not null
# CONSTRAINT:  and pl_orbper not null
# CONSTRAINT:  and pl_eqt not null
# CONSTRAINT:  and sy_dist not null)
# CONSTRAINT:  order by hostname asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,sy_dist,sy_disterr1,sy_disterr2
51 Eri b,51 Eri,3,1,11688.00000000,6209.25000000,-3287.25000000,0,13.400,,,0,700,,,0,29.7575000,0.1213000,-0.1203000
55 Cnc b,55 Cnc,2,5,14.65160000,0.00010000,-0.00010000,0,13.900,,,0,700,,,0,12.5855000,0.0124000,-0.0123000
55 Cnc e,55 Cnc,2,5,0.73654740,0.00000130,-0.00000140,0,1.875,0.029,-0.029,0,1958,15,-15,0,12.5855000,0.0124000,-0.0123000
AU Mic b,AU Mic,1,2,8.46299910,,,0,4.070,0.170,-0.170,0,593,21,-21,0,9.7221000,0.0046250,-0.0046250
AU Mic c,AU Mic,1,2,18.85899100,,,0,3.240,0.160,-0.160,0,454,16,-16,0,9.7221000,0.0046250,-0.0046250
BD+20 594 b,BD+20 594,1,1,41.68550000,0.00300000,-0.00300000,0,2.578,0.112,-0.112,0,546,19,-18,0,179.4610000,1.2570000,-1.2400000
CD Cet b,CD Cet,1,1,2.29070000,0.00012000,-0.00012000,0,1.820,,,0,464,18,-18,0,8.6071500,0.0065800,-0.0065800
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,10037.50000000,2737.50000000,-2737.50000000,0,12.400,,,0,370,40,-40,0,23.1000000,2.4000000,-2.4000000
COCONUTS-2 b,COCONUTS-2 A,1,1,402000000.00000000,470000000.00000000,-100000000.00000000,0,12.442,0.336,-0.336,0,434,9,-9,0,10.8864000,0.0041000,-0.0042000
CoRoT-1 b,CoRoT-1,1,1,1.50895570,0.00000640,-0.00000640,0,16.700,0.900,-0.900,0,1898,50,-50,0,787.9090000,23.4910000,-23.4910000
CoRoT-10 b,CoRoT-10,1,1,13.24060000,0.00020000,-0.00020000,0,10.870,0.780,-0.780,0,600,23,-23,0,338.3860000,3.9865000,-3.9865000
CoRoT-11 b,CoRoT-11,1,1,2.99433000,0.00001100,-0.00001100,0,16.030,0.340,-0.340,0,1657,55,-55,0,655.0370000,24.9470000,-23.2090000
CoRoT-12 b,CoRoT-12,1,1,2.82804200,0.00001300,-0.00001300,0,16.140,1.460,-1.460,0,1442,58,-58,0,1126.3700000,55.7450000,-55.7450000
CoRoT-13 b,CoRoT-13,1,1,4.03519000,0.00003000,-0.00003000,0,9.920,0.157,-0.157,0,1700,,,0,1148.9300000,62.1200000,-56.1500000
CoRoT-14 b,CoRoT-14,1,1,1.51214000,0.00013000,-0.00013000,0,12.220,0.780,-0.780,0,1952,66,-66,0,1744.6000000,173.0300000,-144.9000000
CoRoT-17 b,CoRoT-17,1,1,3.76810000,0.00030000,-0.00030000,0,11.430,0.780,-0.780,0,1626,31,-31,0,1176.1200000,57.1700000,-52.1900000
CoRoT-18 b,CoRoT-18,1,1,1.90006930,0.00000280,-0.00000280,0,14.680,2.020,-2.020,0,1550,90,-90,0,764.8890000,27.6140000,-25.7840000
CoRoT-19 b,CoRoT-19,1,1,3.89713000,0.00002000,-0.00002000,0,14.460,0.340,-0.340,0,2000,150,-150,0,790.6630000,26.7370000,-25.0710000
CoRoT-2 b,CoRoT-2,2,1,1.74299350,0.00000100,-0.00000100,0,16.432,0.471,-0.493,0,1521,18,-18,0,213.2830000,2.4850000,-2.4300000
CoRoT-20 b,CoRoT-20,1,2,9.24285000,0.00030000,-0.00030000,0,9.416,0.448,-0.448,0,1024,16,-16,0,844.0610000,24.1710000,-22.8830000
CoRoT-22 b,CoRoT-22,1,1,9.75598000,0.00011000,-0.00011000,0,4.880,0.170,-0.390,0,885,53,-280,0,627.1580000,11.1870000,-10.8080000
CoRoT-23 b,CoRoT-23,1,1,3.63130000,0.00010000,-0.00010000,0,11.770,1.460,-1.460,0,1660,,,0,1060.9700000,45.4700000,-41.9400000
CoRoT-24 b,CoRoT-24,1,2,5.11340000,0.00060000,-0.00060000,0,3.700,0.400,-0.400,0,1070,140,-140,0,591.5550000,16.0430000,-15.2320000
CoRoT-24 c,CoRoT-24,1,2,11.75900000,0.00630000,-0.00630000,0,5.000,0.500,-0.500,0,850,80,-80,0,591.5550000,16.0430000,-15.2320000
CoRoT-25 b,CoRoT-25,1,1,4.86069000,0.00006000,-0.00006000,0,12.110,3.400,-1.120,0,1330,80,-40,0,1103.4800000,44.2800000,-41.0500000
CoRoT-26 b,CoRoT-26,1,1,4.20474000,0.00005000,-0.00005000,0,14.120,1.460,-0.780,0,1600,80,-70,0,1045.1800000,,
CoRoT-27 b,CoRoT-27,1,1,3.57532000,0.00006000,-0.00006000,0,11.287,0.493,-0.493,0,1500,130,-130,0,1010.2800000,69.2600000,-61.0360000
CoRoT-3 b,CoRoT-3,1,1,4.25680000,0.00000500,-0.00000500,0,11.320,0.780,-0.780,0,1695,57,-57,0,768.7710000,30.7910000,-28.5450000
CoRoT-35 b,CoRoT-35,1,1,3.22748000,0.00008000,-0.00008000,0,18.831,1.233,-1.233,0,1747,62,-62,0,1123.2100000,55.9000000,-50.9200000
CoRoT-36 b,CoRoT-36,1,1,5.61653100,0.00002300,-0.00002300,0,15.805,1.569,-1.569,0,1567,35,-35,0,925.9580000,27.7960000,-26.2470000
